Plot,Location,dry_weight_g,veg_moisture_pct,veg_height_cm
1,A,91.4,26.674689129562775,47.666666666666664
1,B,54.53,3.6912751677852285,68
1,C,46.56,34.03230376877302,66.33333333333333
2,A,43.81,20.24394684143455,41.666666666666664
2,B,54.06,20.511689457432734,25.666666666666668
2,C,20.16,11.384615384615385,28.333333333333332
3,A,28.92,17.91087141640646,19.666666666666668
3,B,48.24,14.935637453711864,22.333333333333332
3,C,43.69,9.973212445909754,36
4,A,84.06,9.212657954422724,25
4,B,74.05,40.209931368591036,31.666666666666668
4,C,23.44,18.04195804195804,21
5,A,58.02,13.814616755793212,19
5,B,31.69,36.480256564441774,16.333333333333332
5,C,55.46,34.591343318787594,23.666666666666668
6,A,35.17,31.375609756097557,17
6,B,46.98,36.255088195386705,17.333333333333332
6,C,57.04,16.778523489932894,27
7,A,80.2,13.165872672152442,21
7,B,28.36,15.038945476333142,33.666666666666664
7,C,50.29,13.382707543920088,46.333333333333336
8,A,134.36,17.097550441167385,26.333333333333332
8,B,76.01,20.938215102974823,35.666666666666664
8,C,31.72,17.13688610240335,44
9,A,68.01,11.364524957643683,22.666666666666668
9,B,71.88,11.554078995939461,11
9,C,64.64,38.78208163651861,25.333333333333332
10,A,26.08,14.182296808160586,36
10,B,33.93,24.263392857142854,12.666666666666666
10,C,42.2,10.706728734659322,12
11,A,57.6,11.124826415676594,39
11,B,45.22,21.178316193132297,40
11,C,69.9,17.483177901074242,35
12,A,87.08,15.872862525359874,66
12,B,75.69,15.02189289323004,25
12,C,57.01,20.154061624649867,18.666666666666668
13,A,109.22,15.692782709378628,59.666666666666664
13,B,40.09,27.18852161278605,41.333333333333336
13,C,86.07,13.16585956416466,72.66666666666667
14,A,42.04,21.84420896077338,54.333333333333336
14,B,131.33,10.010963409620382,46.666666666666664
14,C,181.37,13.62922043906853,51
15,A,36.28,11.834750911300116,13
15,B,33.88,19.791666666666664,12.333333333333334
15,C,36.67,27.61547572048953,13.666666666666666
16,A,22.8,14.574747096290746,7
16,B,66.94,35.49195335838875,22.333333333333332
16,C,44.86,28.224,26.666666666666668
17,A,48.49,11.579139314369074,11.666666666666666
17,B,86.52,13.695760598503746,7.333333333333333
17,C,36.01,11.610211094747186,11.333333333333334
18,A,46.56,23.77210216110019,10
18,B,54.67,17.22937168811506,8.333333333333334
18,C,32.69,29.623250807319707,21
19,A,42.99,18.840853313196142,26.666666666666668
19,B,98.82,13.51304043409768,37.333333333333336
19,C,55.61,22.462353597322924,59
20,A,24.44,20.90614886731391,47.666666666666664
20,B,62.76,12.893823733518389,23.333333333333332
20,C,57.45,11.424606845513408,31
21,A,81.18,13.83994905540224,30
21,B,73.63,10.207317073170737,33.333333333333336
21,C,97.31,16.04693296523164,69
22,A,154.78,21.495232298640698,38.333333333333336
22,B,72.11,20.87996488918148,53.333333333333336
22,C,68.95,10.732780942516822,73
23,A,57.37,16.589124745565577,39.666666666666664
23,B,140,12.032673578385173,16.666666666666668
23,C,57.58,18.511180300028304,20.333333333333332
24,A,52.75,17.44913928012519,25.666666666666668
24,B,65.1,10.858551280295778,20.333333333333332
24,C,39.11,21.43431096826035,13
25,A,33.98,18.64974862341395,8.333333333333334
25,B,40.27,7.616425785730671,20
25,C,65.93,10.348109872178405,40.333333333333336
26,A,49.12,34.88865323435843,34.333333333333336
26,B,10.86,33.65913255956018,39
26,C,20.03,49.11077235772357,20.333333333333332
27,A,70.29,14.499452621335589,33.333333333333336
27,B,72.41,21.557794388473624,46.333333333333336
27,C,90.74,27.84095427435388,54.333333333333336
28,A,60.14,12.024575775307195,27.333333333333332
28,B,77.66,16.458691910499137,19.666666666666668
28,C,82.47,19.838646967340587,34.333333333333336
29,A,114.81,14.448584202682554,35
29,B,51.35,18.72427983539094,49.333333333333336
29,C,71.15,20.449463327370296,46
30,A,55.74,15.00457456541628,29.333333333333332
30,B,54.59,16.388420891407566,23.666666666666668
30,C,94.23,13.819279312237057,15
31,A,55.96,17.74217257092459,19
31,B,40.29,23.750946252838766,19
31,C,46.73,14.351173020527868,40
32,A,46.81,22.38434753772177,60
32,B,23.94,28.707564026206068,42
32,C,23.36,33.02752293577982,61
33,A,75.84,20.23559108119478,52
33,B,55.22,22.715185444366696,55.666666666666664
33,C,55.16,38.396247487156586,74
34,A,17.24,24.716157205240176,12.333333333333334
34,B,30.37,23.559023408004016,17.333333333333332
34,C,111.37,10.047653662870525,12
35,A,139.95,12.928513656442481,43
35,B,60.54,11.322689321810454,25
35,C,64.23,21.85180678914709,25
36,A,18.15,16.320885200553263,41
36,B,31.53,29.289078268670107,34
36,C,104.91,20.738893925657308,56
37,A,47.1,13.083594759180654,9.666666666666666
37,B,29.88,40.04815409309792,57
37,C,54.16,9.658048373644714,9
38,A,101.14,21.40192726142369,53.666666666666664
38,B,106.46,19.34848484848485,37
38,C,48.48,22.6670920401978,52
39,A,42.31,12.726897689768967,29.666666666666668
39,B,38.04,12.652123995407573,43.333333333333336
39,C,59.11,14.69187472939819,28.666666666666668
40,A,21.93,34.517766497461935,18
40,B,38.4,13.043478260869561,11.666666666666666
40,C,38.15,12.819926873857405,34
